id,code,subject,catalog nbr,section,class nbr,course title,component,units,topics,Bldg,room,days,time,Instructor,Class Enrl Cap,Class Enrl Tot,Class Wait Cap,Class Wait Tot,Class Min Enrl
10781,BMME 555,BMME,555,1,14392,BIOFLUID MECHANICS,Lecture(In Person On Campus Learners),3,A, Murphey Hall,112, MWF , 10:10 - 11:00,"["" Polacheck,William""]",30,10,999,0,0
10782,BMME 575,BMME,575,1,11524,PRACTICAL MACHINE LEARNING,Lecture(In Person On Campus Learners),3,A, Hamilton Hall,452, MWF , 12:20 - 13:10,"["" Azarang,Arian""]",45,40,999,3,0
10783,BMME 585,BMME,585,1,10413,BIOTECHNOLOGY,Lecture(In Person On Campus Learners),3,A, Woollen Gym,304, MW , 17:45 - 19:00,"["" MACDONALD,JEFFREY M""]",49,34,999,0,0
10784,BMME 590,BMME,590,2,14393,SPTP BME,Lecture(In Person On Campus Learners),9-Jan,A, Dey Hall,401, MWF , 12:20 - 13:10,"["" GOMEZ,SHAWN M""]",20,3,999,0,0
10785,BMME 697,BMME,697,601,9378,BME SENIOR DESIGN PROD DEV,Recitation(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Hubbard,Devin Kerry"","" DONNELLY,KENNETH PATRICK""]",80,80,999,2,0
10786,CHEM 89,CHEM,89,1,13842,FYS:SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , TuTh ," 14:00 - 15:15 MED PLANTS:CHEM, MED","["" Eskew,Nita Anderson""]",22,22,0,0,0
10787,CHEM 101,CHEM,101,654,10357,GEN DESCRIP CHEM I,Recitation(Remote Only - Synchronous),0,A, TBA, TBA , TBA , TBA,"["" Staff""]",0,0,999,0,0
10788,CHEM 102,CHEM,102,02F,12451,GEN DESCRIP CHEM II,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , MWF , 09:05 - 09:55,"["" BLIEM,CARRIBETH L""]",13,13,0,0,0
10789,CHEM 241,CHEM,241,2,11843,ANALYTICAL METHODS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" LOCKETT,MATTHEW RYEN""]",200,200,999,101,0
10790,CHEM 251,CHEM,251,1,7219,INTRO INORG CHEM,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Fostvedt,Jade Irene""]",50,60,25,16,0
10791,CHEM 261,CHEM,261,3,11850,INTRO ORG CHEM I,Lecture(In Person On Campus Learners),3,A, Murray Hall, G202 , TuTh , 08:00 - 09:15,"["" Austell,Todd L.""]",175,188,0,5,0
10792,CHEM 262,CHEM,262,2,12761,INTRO ORG CHEM II,Lecture(In Person On Campus Learners),3,A, Chapman Hall,211, MWF , 11:15 - 12:05,"["" Zurcher,Danielle""]",125,133,25,0,0
10793,CHEM 291,CHEM,291,91,8843,TEACHING APPRENTICE,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Curtis,Anna Cristina"","" Hall,Julianne Bain""]",0,0,999,0,0
10794,CHEM 295,CHEM,295,1,13273,EDUCATIONAL RESEARCH IN CHEM,Lab(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10795,CHEM 395,CHEM,395,111,9858,RES CHEM UNDERGRAD,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Dempsey,Jillian Lee""]",20,0,999,0,0
10796,CHEM 396,CHEM,396,79,11650,SPEC PROBS IN CHEM,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
10797,CHEM 420,CHEM,420,1,9565,INTRODUCTION TO POLYMERS,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , MWF , 11:15 - 12:05,"["" YOU,WEI""]",30,27,999,0,0
10798,CHEM 421,CHEM,421,1,3940,SYNTH OF POLYMERS,Lecture(In Person On Campus Learners),3,A, Murray Hall, G205 , MWF , 10:10 - 11:00,"["" Leibfarth,Frank Albert""]",30,28,999,0,0
10799,CHEM 422,CHEM,422,1,7967,PHYS CHEM POLYMERS,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B121 , TuTh , 08:00 - 09:15,"["" SHEYKO,SERGEY S""]",30,1,999,0,0
10800,CHEM 430,CHEM,430,2,10101,INTRO BIOLOG CHEM,Lecture(In Person On Campus Learners),3,A, Murray Hall, G202 , TuTh , 09:30 - 10:45,"["" Hogan,Brian Patrick""]",160,160,5,32,0
10801,CHEM 431,CHEM,431,1,3942,MACROMOL STRUCT & METAB,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , TuTh , 15:30 - 16:45,"["" Hogan,Brian Patrick""]",35,41,10,10,0
10802,CHEM 447,CHEM,447,1,13847,BIOANALYTICAL CHEMISTRY,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , TuTh , 09:30 - 10:45,"["" SCHOENFISCH,MARK H""]",30,6,999,0,0
10803,CHEM 450,CHEM,450,1,4148,INTERMED INORG CHEM,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B121 , MWF , 08:00 - 08:50,"["" GAGNE,MICHEL R""]",35,25,999,0,0
10804,CHEM 451,CHEM,451,1,10821,THEO INORGANIC CHEM,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , MWF , 10:10 - 11:00,"["" TEMPLETON,JOSEPH L""]",35,7,999,0,0
10805,CHEM 463,CHEM,463,1,10276,BIOORGANIC CHEMISTRY,Lecture(In Person On Campus Learners),3,A, Venable Hall, G311 , MW , 14:30 - 15:45,"["" Knight,Abigail Sheldon""]",35,6,999,0,0
10806,CHEM 465,CHEM,465,1,4184,MECH/ORG/INORG REAC,Lecture(In Person On Campus Learners),4,A, Kenan Labs, B121 , MWF , 11:15 - 12:05,"["" Meek,Simon John"","" Jackson,Megan Nora"","" Meek,Simon John"","" Jackson,Megan Nora""]",35,7,999,0,0
10807,CHEM 466,CHEM,466,1,4185,ADV ORG CHEM I,Lecture(In Person On Campus Learners),3,A, Venable Hall, G311 , TuTh , 08:00 - 09:15,"["" JOHNSON,JEFFREY S""]",40,10,999,0,0
10808,CHEM 469,CHEM,469,1,10819,ORGANOMETALLICS AND CATALYSIS,Lecture(In Person On Campus Learners),3,A, Venable Hall, G307 , TuTh , 09:30 - 10:45,"["" ALEXANIAN,ERIK J""]",30,7,999,0,0
10809,CHEM 470,CHEM,470,1,6444,FUND MATERIALS SCI,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B121 , MWF , 12:20 - 13:10,"["" WARREN,SCOTT CHARLES""]",30,3,999,0,0
10810,CHEM 480,CHEM,480,1,10102,INTRO BIOPHYS CHEM,Lecture(In Person On Campus Learners),3,A, Fetzer Hall,109, MWF , 08:00 - 08:50,"["" DOBRYNIN,ANDREY V""]",95,62,999,2,0
10811,CHEM 481,CHEM,481,1,4186,PHYSICAL CHEMISTRY I,Lecture(In Person On Campus Learners),3,A, Venable Hall, G311 , MWF , 10:10 - 11:00,"["" Pieri,Elisa""]",45,38,999,0,0
10812,CHEM 482,CHEM,482,1,4187,PHYSICAL CHEMISTRY II,Lecture(In Person On Campus Learners),3,A, Murray Hall, G201 , MWF , 09:05 - 09:55,"["" Atkin,Joanna Margaret""]",30,27,999,0,0
10813,CHEM 484,CHEM,484,1,9096,THER INTR STAT THER,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B125 , TuTh , 08:00 - 09:15,"["" Lu,Zhiyue""]",20,7,999,0,0
10814,CHEM 486,CHEM,486,1,8229,INTRO QUANTUM CHEM,Lecture(In Person On Campus Learners),3,A, Kenan Labs, B121 , TuTh , 11:00 - 12:15,"["" Kanai,Yosuke""]",30,10,999,0,0
10815,CHEM 701,CHEM,701,1,7444,INTRO TO LAB SAFETY,Lecture(In Person On Campus Learners),1,A, Chapman Hall,125, M , 08:00 - 08:50,"["" LAWRENCE,DAVID SCOTT""]",90,45,999,0,0
10816,CHEM 721,CHEM,721,1,4188,SEM MATERIALS CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, M , 16:00 - 17:20,"["" YOU,WEI"","" YOU,WEI""]",40,3,999,0,0
10817,CHEM 731,CHEM,731,1,4189,SEM BIOLOGICAL CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, W , 12:20 - 13:15,"["" PIELAK,GARY J""]",36,4,999,0,0
10818,CHEM 732,CHEM,732,1,4190,MACROMOLECULAR STRUCTURE,Lecture(In Person On Campus Learners),3,A, Stone Center,210, TuTh , 09:30 - 10:45,"["" Kratochvil,Huong Tran""]",20,0,999,0,0
10819,CHEM 741,CHEM,741,1,4191,LIT SEM ANALYT CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, M , 12:00 - 13:00,"["" SCHOENFISCH,MARK H""]",50,0,999,0,0
10820,CHEM 742,CHEM,742,1,3943,ANALYTICAL RES TECH,Lecture(In Person On Campus Learners),2,A, Kenan Labs, B125 , MTuWThF , 16:30 - 17:20,"["" GLISH,GARY L""]",36,0,999,0,0
10821,CHEM 754,CHEM,754,1,4192,LIT SEM INORG CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, Tu , 11:00 - 12:15,"["" Miller,Alexander James Minden""]",50,3,999,0,0
10822,CHEM 761,CHEM,761,1,4193,SEM ORGANIC CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, Th , 11:00 - 12:15,"["" Meek,Simon John"","" Meek,Simon John""]",40,4,999,0,0
10823,CHEM 764,CHEM,764,2,12234,SPECIAL TOPICS - ORGCHEM,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",40,0,999,0,0
10824,CHEM 765,CHEM,765,1,11896,MODERN FREE RADICAL CHEMISTRY,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",30,0,999,0,0
10825,CHEM 781,CHEM,781,1,4194,SEM PHYSICAL CHEM,Lecture(In Person On Campus Learners),2,A, Chapman Hall,125, W , 11:15 - 12:05,"["" Lu,Zhiyue""]",20,3,999,0,0
10826,CHEM 786,CHEM,786,1,12861,SPEC TOP/PHYS CHEM,Lecture(In Person On Campus Learners),0.5 - 21,A, TBA, TBA , TBA , TBA,"["" Staff""]",30,0,999,0,0
10827,CHEM 791,CHEM,791,1,7064,SPECIAL TOPICS-CHEM,Lecture(In Person On Campus Learners),4-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",30,0,999,0,0
10828,CHEM 921,CHEM,921,1,9875,RES/METH/POLYMER CHEM,Lecture(In Person On Campus Learners),21-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",3,0,999,0,0
10829,CHEM 992,CHEM,992,105,9272,MASTER'S (NON-THESIS),Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" DOBRYNIN,ANDREY V""]",5,0,999,0,0
10830,CHEM 993,CHEM,993,79,11656,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0,0
10831,CHEM 994,CHEM,994,110,14908,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" ZHANG,QISHENG""]",10,0,999,0,0
10832,CLAR 120,CLAR,120,1,2478,MEDITERRANEAN ARCHAEOLOGY,Lecture(In Person On Campus Learners),3,A, Murphey Hall,116, TuTh , 14:00 - 15:15,"["" Gaborek,Rebecca Marie""]",81,63,999,0,0
10833,CLAR 244,CLAR,244,1,11968,GREEK ART AND ARCHAEOLOGY,Lecture(In Person On Campus Learners),3,A, Wilson Hall,107, MWF , 12:20 - 13:10,"["" Miller,Jackson Noah""]",26,25,999,0,0
10834,CLAR 268,CLAR,268,1,14443,HELLENISTIC ART AND ARCH,Lecture(In Person On Campus Learners),3,A, Murphey Hall,104, TuTh , 14:00 - 15:15,"["" Valladares,Herica N.""]",20,20,999,0,0
10835,CLAR 396,CLAR,396,7,15324,IND STUDY IN CLASSICAL ARCH,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" GATES-FOSTER,JENNIFER ERIN""]",3,1,999,0,0
10836,CLAR 482,CLAR,482,1,14458,ACHAEMENID PERSIA,Lecture(In Person On Campus Learners),3,A, Murphey Hall,104, TuTh , 12:30 - 13:45,"["" GATES-FOSTER,JENNIFER ERIN""]",40,17,999,0,0
10837,CLAR 841,CLAR,841,41,12810,SPECIAL READING,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0,0
10838,CLAR 910,CLAR,910,2,14427,SEMINAR IN ARCHAEOLOGY,Lecture(In Person On Campus Learners),3,A, Murphey Hall,220, W ," 16:40 - 19:40 Iden, Pol, Nationali","["" GATES-FOSTER,JENNIFER ERIN""]",20,7,999,0,0
10839,CLAR 994,CLAR,994,41,11314,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Valladares,Herica N.""]",3,3,999,0,0
10840,CLAS 63,CLAS,63,1,14447,POLITICS OF PERSUASION,Lecture(In Person On Campus Learners),3,A, Murphey Hall,118, MWF , 10:10 - 11:00,"["" Staff""]",22,22,0,0,0
10841,CLAS 122,CLAS,122,1,14450,THE ROMANS,Lecture(In Person On Campus Learners),3,A, Murphey Hall,116, MWF , 11:15 - 12:05,"["" Baroud,George""]",126,124,999,2,0
10842,CLAS 131,CLAS,131,1,2472,CLASSICAL MYTHOLOGY,Lecture(In Person On Campus Learners),3,A, Stone Center,103, MWF , 12:20 - 13:10,"["" Lye,Suzanne"","" Dorey,Carolyn Jan""]",116,116,999,10,0
10843,CLAS 254,CLAS,254,1,14751,ALEXANDER & HELLENISTIC WORLD,Lecture(In Person On Campus Learners),3,A, Murphey Hall,104, MWF , 09:05 - 09:55,"["" Staff""]",20,12,999,0,0
10844,CLAS 260,CLAS,260,1,15040,ANCIENT MEDICINE,Lecture(In Person On Campus Learners),3,A, Greenlaw Hall,302, TuTh , 15:30 - 16:45,"["" DOWNIE,JANET""]",33,33,999,0,0
10845,CLAS 263,CLAS,263,1,12044,ATHLETICS GREEK ROMAN WORLDS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Duncan,Alexander Colin""]",116,113,999,11,0
10846,CLAS 710,CLAS,710,1,15056,PEDAGOGY,Lecture(In Person On Campus Learners),1,A, Murphey Hall,304, TuTh , 09:30 - 10:45,"["" DOWNIE,JANET""]",15,5,999,0,0
10847,GREK 101,GREK,101,1,3928,ELEM CLASSICAL GREEK I,Lecture(In Person On Campus Learners),4,A, Murphey Hall,118, MTuThF , 11:15 - 12:05,"["" DOWNIE,JANET""]",15,13,999,0,0
10848,GREK 203,GREK,203,1,3929,INTERMEDIATE GREEK I,Lecture(In Person On Campus Learners),3,A, Murphey Hall,220, MWF , 10:10 - 11:00,"["" Lye,Suzanne""]",18,15,999,0,0
10849,GREK 221,GREK,221,1,3930,ADVANCED GREEK I,Lecture(In Person On Campus Learners),3,A, Murphey Hall,221, MWF , 14:30 - 15:20,"["" BARAGWANATH,EMILY EILEEN""]",8,5,999,0,0
10850,GREK 351,GREK,351,1,12050,CLASS GREEK PROSE,Lecture(In Person On Campus Learners),3,A, Murphey Hall,221, MWF , 14:30 - 15:20 Herodotus,"["" BARAGWANATH,EMILY EILEEN""]",8,4,999,0,0
10851,GREK 396,GREK,396,1,13081,SPEC READ GREEK LIT,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10852,GREK 841,GREK,841,26,17484,SPECIAL READING,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Rosenmeyer,Patricia Anne""]",1,1,0,0,0
10853,GREK 901,GREK,901,1,8628,SEMINAR,Lecture(In Person On Campus Learners),3,A, Murphey Hall,304, M , 16:40 - 19:40 Xenophon,"["" BARAGWANATH,EMILY EILEEN""]",14,8,999,0,0
10854,GREK 994,GREK,994,26,8762,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Rosenmeyer,Patricia Anne""]",1,1,999,0,0
10855,LATN 101,LATN,101,3,2606,ELEMENTARY LATIN I,Lecture(In Person On Campus Learners),4,A, Murphey Hall,118, MTuThF , 15:35 - 16:25,"["" Balaguer,Anna Marcella""]",10,6,999,0,0
10856,LATN 102,LATN,102,1,2607,ELEMENTARY LATIN II,Lecture(In Person On Campus Learners),4,A, Murphey Hall,118, MTuThF , 14:30 - 15:20,"["" Staff""]",15,14,999,0,0
10857,LATN 203,LATN,203,3,2611,INTERMEDIATE LATIN I,Lecture(In Person On Campus Learners),3,A, Dey Hall,404, MWF , 15:35 - 16:25,"["" Staff""]",20,19,999,1,0
10858,LATN 223,LATN,223,1,14453,OVID,Lecture(In Person On Campus Learners),3,A, Murphey Hall,111, TuTh , 09:30 - 10:45,"["" O'Hara,JAMES J""]",18,13,999,0,0
10859,LATN 354,LATN,354,1,14455,TACITUS PLINY'S LTR,Lecture(In Person On Campus Learners),3,A, Murphey Hall,111, MWF , 12:20 - 13:10,"["" Baroud,George""]",14,6,999,0,0
10860,LATN 765,LATN,765,1,14456,ROM LYRIC/ELEG POE,Lecture(In Person On Campus Learners),3,A, Murphey Hall,304, TuTh , 12:30 - 13:45,"["" O'Hara,JAMES J""]",14,4,999,0,0
10861,LATN 780,LATN,780,1,14457,THE ROMAN NOVEL,Lecture(In Person On Campus Learners),3,A, Murphey Hall,221, MWF , 10:10 - 11:00,"["" RIVES,JAMES BOYKIN""]",14,6,999,0,0
10862,LATN 993,LATN,993,5,12778,MASTER'S RESEARCH AND THESIS,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10863,LATN 994,LATN,994,26,11340,DOCT RESEARCH,AND(In Person On Campus Learners),DISSERTATIONLecture 3,A, TBA, TBA , TBA , TBA,"["" Staff""]",1,0,999,0,0
10864,COMM 75,COMM,75,1,14381,RESEARCHING SOCIETY & CULTURE,Lecture(In Person On Campus Learners),3,A, Dey Hall,401, TuTh , 15:30 - 16:45,"["" MONAHAN,TORIN MICHAEL""]",21,21,0,0,0
10865,COMM 82,COMM,82,1,14192,FOOD POLITICS,Lecture(In Person On Campus Learners),3,A, Hanes Art Center,215, TuTh , 12:30 - 13:45,"["" DEMPSEY,SARAH E""]",24,24,0,0,0
10866,COMM 89,COMM,89,1,14216,FYS: SPECIAL TOPICS,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Haslett,Julia Winslow""]",20,20,0,0,0
10867,COMM 100,COMM,100,608,14069,COMM & SOCIAL PROC,Recitation(In Person On Campus Learners),3,A, Greenlaw Hall,305, F , 12:20 - 13:10,"["" Mcewan,Sean Rutherford""]",20,9,999,0,0
10868,COMM 113,COMM,113,606,4098,PUBLIC SPEAKING,Recitation(In Person On Campus Learners),3,A, Hanes Art Center,116, Th , 11:00 - 12:15,"["" Staff""]",1,1,999,2,0
10869,COMM 120,COMM,120,5,14360,INTRO INTERPER/ORG COMM,Lecture(In Person On Campus Learners),3,A, Dey Hall,402, MWF , 12:20 - 13:10,"["" Parker,Amelia""]",25,25,999,28,0
10870,COMM 130,COMM,130,404,12420,INTRO MEDIA PROD,Lab(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Plumpton,Max""]",11,11,999,8,0
10871,COMM 131,COMM,131,1,4141,WRITING FOR SCREEN/STAGE,Lecture(In Person On Campus Learners),3,A, Wilson Hall,139, Th , 15:30 - 18:00,"["" Craft,Howard Lemuel""]",17,17,999,2,0
10872,COMM 140,COMM,140,604,14367,INTRO MED HIST/THEO/CRIT,Recitation(In Person On Campus Learners),3,A, TBA, TBA , F , 11:15 - 12:15,"["" Staff""]",25,25,999,6,0
10873,COMM 150,COMM,150,1,9385,INTRODUCTION TO NEW MEDIA,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" RUDINSKY,JOYCE J""]",12,12,999,21,0
10874,COMM 160,COMM,160,604,12412,INTRO TO PERF STUDIES,Recitation(In Person On Campus Learners),3,A, Swain Hall,110, Th , 11:00 - 12:15,"["" Staff""]",16,16,999,0,0
10875,COMM 170,COMM,170,4,5666,RHET PUBL ISSUES,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Horner,Emilio Lopez""]",23,23,999,6,0
10876,COMM 223,COMM,223,2,14675,SMALL GROUP COMM,Lecture(In Person On Campus Learners),3,A, TBA, TBA , MWF , 11:15 - 12:05,"["" Staff""]",17,17,999,0,0
10877,COMM 224,COMM,224,5,14977,INTRO GENDER COMMUNICAT,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 09:30 - 10:45,"["" Staff""]",15,15,999,1,0
10878,COMM 230,COMM,230,3,14209,AUD/VID/FLM PRD/WRT,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Hondros,Kristin Marie""]",14,14,999,0,0
10879,COMM 260,COMM,260,2,14666,INT TO PERF AND SOC CHAN,Lecture(In Person On Campus Learners),3,A, Swain Hall,104, TuTh , 15:30 - 16:45,"["" Staff""]",13,12,999,0,0
10880,COMM 312,COMM,312,1,10776,PERSUASION,Lecture(In Person On Campus Learners),3,A, TBA, TBA , MWF , 11:15 - 12:05,"["" Youakim,Josh Alan""]",25,25,999,1,0
10881,COMM 318,COMM,318,1,5664,CULTURAL DIVERSITY,Lecture(In Person On Campus Learners),3,A, Dey Hall,204, MW , 13:25 - 14:40,"["" Jackson,Taylor Lee""]",25,21,999,0,0
10882,COMM 325,COMM,325,2,12318,INTRO ORG COMM,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Staff""]",36,36,999,3,0
10883,COMM 330,COMM,330,4,14221,INTRO WRITING FILM/TV,Lecture(In Person On Campus Learners),3,A, Murphey Hall,222, TuTh , 14:00 - 15:15,"["" ACOSTA,MICHAEL D""]",18,18,999,2,0
10884,COMM 334,COMM,334,1,14958,WRITING THE ONE-HOUR TV DRAMA,Lecture(In Person On Campus Learners),3,A, Swain Hall,104, W , 14:30 - 17:15,"["" Staff""]",18,15,999,0,0
10885,COMM 335,COMM,335,1,14226,FILM STORY ANALYSIS,Lecture(In Person On Campus Learners),3,A, Swain Hall,104, TuTh , 14:00 - 15:15,"["" GOODWIN,JOY L""]",23,24,999,3,0
10886,COMM 350,COMM,350,1,14686,PRACT CULTURAL STUDIES,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 14:00 - 15:15,"["" Williams,Ian Granger""]",25,25,999,8,0
10887,COMM 378,COMM,378,1,14728,ENVIRONMENTAL FILMMAKING,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Haslett,Julia Winslow""]",14,11,999,0,0
10888,COMM 393,COMM,393,4,6610,INTERNSHIP,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",5,0,999,0, 0 0021
10889,COMM 396,COMM,396,6,5824,IND STUDY/DIR READ,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0, 0 0021
10890,COMM 412,COMM,412,1,8900,CRITICAL THEORY,Lecture(In Person On Campus Learners),3,A, Murphey Hall,115, TuTh , 15:30 - 16:45,"["" Le-Sweatman,Victoria""]",25,21,999,0,0
10891,COMM 423,COMM,423,1,14194,WORK AND PROFESSIONAL LIFE,Lecture(In Person On Campus Learners),3,A, Graham Memorial,35, TuTh , 15:30 - 16:45,"["" DEMPSEY,SARAH E""]",30,30,999,4,0
10892,COMM 431,COMM,431,1,8540,ADVANCED AUDIO PRODUCTION,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Robinson,Mark D.""]",14,15,999,3,0
10893,COMM 450,COMM,450,1,9537,MED & POP CULTURE,Lecture(In Person On Campus Learners),3,A, Dey Hall,302, MWF , 11:15 - 12:05,"["" Gerstner,Nicholas David""]",25,25,999,3,0
10894,COMM 453,COMM,453,1,12390,EVERYDAY MEDIA TECHNOLOGY,Lecture(In Person On Campus Learners),3,A, Dey Hall,203, MW , 17:05 - 18:20,"["" PALM,MICHAEL WILLIAM""]",30,27,999,0,0
10895,COMM 464,COMM,464,1,14430,COLLABORATIVE PERFORMANCE,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" PERUCCI,ANTHONY T""]",14,14,999,0,0
10896,COMM 471,COMM,471,1,14448,RHETORICS PUBLIC MEMORY,Lecture(In Person On Campus Learners),3,A, Mitchell Hall,205, TuTh , 15:30 - 16:45,"["" Fitzmaurice Mahan,Megan Irene""]",30,19,999,0,0
10897,COMM 475,COMM,475,1,17609,FOSTERING CIVIL DISCOURSE,Lecture(In Person On Campus Learners),3,A, TBA, TBA , TuTh , 09:30 - 10:45,"["" Marinelli,Kevin James""]",12,12,0,0,0
10898,COMM 490,COMM,490,11,15022,SPEC TOP/COMM STUDIES,Lecture(In Person On Campus Learners),3,A, Murphey Hall,221, MW , 11:15 - 12:30 Intro to Animation:,"["" Staff""]",14,14,999,0,0
10899,COMM 521,COMM,521,1,10777,COMM/SOCIAL MEMORY,Lecture(In Person On Campus Learners),3,A, Murphey Hall,115, TuTh , 12:30 - 13:45,"["" WALTMAN,MICHAEL S""]",30,30,999,0,0
10900,COMM 523,COMM,523,1,15000,COMM AND LEADERSHIP,Lecture(In Person On Campus Learners),3,A, Dey Hall,307, TuTh , 14:00 - 15:15,"["" Staff""]",30,21,999,0,0
10901,COMM 524,COMM,524,1,14196,GENDER COMM & CULTURE,Lecture(In Person On Campus Learners),3,A, Hanes Hall,112, TuTh , 09:30 - 10:45,"["" SILVA,KUMARINI""]",30,24,999,0,0
10902,COMM 525,COMM,525,1,14198,ORG COMM,Lecture(In Person On Campus Learners),3,A, Wilson Hall,202, TuTh , 09:30 - 10:45,"["" MAY,STEVEN K""]",30,18,999,0,0
10903,COMM 527,COMM,527,1,12779,ORGANIZATIONAL ETHICS,Lecture(In Person On Campus Learners),3,A, Hanes Hall,112, TuTh , 11:00 - 12:15,"["" MAY,STEVEN K""]",30,21,999,0,0
10904,COMM 534,COMM,534,1,3902,NARRATIVE PRODUCTION,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,NULL,14,10,999,0,0
10905,COMM 537,COMM,537,1,6668,MASTER SCREENWRITING,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" ACOSTA,MICHAEL D""]",20,14,999,0,0
10906,COMM 562,COMM,562,1,12494,ORAL HISTORY/PERF,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" ALEXANDER CRAFT,RENEE J""]",20,17,999,0,0
10907,COMM 596,COMM,596,6,5607,ADV IND STUDY/DIR READ,Lecture(In Person On Campus Learners),3-Jan,A, TBA, TBA , TBA , TBA,"["" Staff""]",2,0,999,0, 0 0021
10908,COMM 620,COMM,620,1,14205,THEORY INTERPERS COMM,Lecture(In Person On Campus Learners),3,A, Dey Hall,203, TuTh , 09:30 - 10:45,"["" WALTMAN,MICHAEL S""]",30,11,999,0,0
10909,COMM 636,COMM,636,1,15025,INTERACTIVE MEDIA,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" Staff""]",14,14,999,1,0
10910,COMM 638,COMM,638,1,9384,GAME DESIGN,Lecture(In Person On Campus Learners),3,A,NULL,NULL,NULL,NULL,"["" RUDINSKY,JOYCE J""]",14,15,999,0,0
